"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"4433",8,"1979",1,1,2,2,2,65
"4444",8,"1979",1,2,1,2,2,68
"4446",8,"1979",1,5,1,2,2,67
"4448",8,"1979",1,5,1,2,2,68
"4457",8,"1979",1,1,2,2,2,65
"4486",6,"1979",2,1,1,1,2,65
"4490",6,"1979",2,1,1,1,2,62
"4509",6,"1979",1,2,1,1,2,65
"4541",6,"1979",1,98,1,1,2,67
"4542",6,"1979",1,98,1,1,2,67
"4543",6,"1979",1,98,1,1,2,67
"4550",6,"1979",1,3,2,2,2,68
"4551",6,"1979",1,3,2,2,2,64
"4552",6,"1979",1,3,2,2,2,64
"4553",6,"1979",1,3,2,2,2,68
"4585",6,"1979",2,98,1,1,2,62
"4587",6,"1979",1,98,2,2,2,63
"4598",6,"1979",1,1,2,2,2,68
"4601",6,"1979",2,1,2,2,2,68
"4604",6,"1979",1,1,2,2,2,60
"4607",6,"1979",1,3,1,2,2,63
"4609",6,"1979",2,2,2,2,2,64
"4610",6,"1979",2,2,2,2,2,65
"4611",6,"1979",1,1,2,2,2,64
"4617",6,"1979",2,3,2,2,2,64
"4622",6,"1979",1,1,2,2,2,65
"4629",6,"1979",1,1,2,2,2,68
"4635",6,"1979",1,1,1,2,2,64
"4641",6,"1979",2,98,2,2,2,64
"4642",6,"1979",1,1,2,2,2,64
"4648",6,"1979",1,1,2,2,2,64
"4678",12,"1979",1,2,1,2,2,68
"4681",12,"1979",1,2,2,2,2,64
"4687",12,"1979",1,5,1,2,2,65
"4688",12,"1979",1,5,1,2,2,62
"4690",12,"1979",1,6,1,2,2,68
"4696",12,"1979",1,5,2,2,2,67
"4711",12,"1979",1,2,1,2,2,65
"4714",12,"1979",1,98,1,2,2,68
"4715",12,"1979",1,98,1,2,2,68
"4729",12,"1979",1,5,1,2,2,64
"4730",12,"1979",1,5,1,2,2,68
"4738",12,"1979",5,1,1,2,2,67
"4770",12,"1979",1,2,1,2,2,68
"4771",12,"1979",1,2,1,2,2,68
"4793",12,"1979",1,4,1,2,2,67
"4819",12,"1979",1,4,1,2,2,67
"4832",12,"1979",1,3,1,2,2,65
"4833",12,"1979",1,3,1,2,2,64
"4851",12,"1979",1,5,1,2,2,67
"4856",12,"1979",1,5,1,2,2,68
"4862",12,"1979",1,4,1,2,2,65
"4868",12,"1979",1,3,1,2,2,65
"4869",12,"1979",1,3,1,2,2,68
"4872",12,"1979",1,5,1,2,2,65
"4892",12,"1979",1,3,1,2,2,68
"4895",12,"1979",2,3,1,2,2,65
"4905",12,"1979",2,1,2,2,2,65
"4909",12,"1979",2,1,2,2,2,68
"4915",12,"1979",2,3,1,2,2,64
"4956",12,"1979",1,6,1,2,2,68
"4961",12,"1979",2,1,2,2,2,65
"4988",12,"1979",1,1,2,2,2,64
"5024",9,"1979",2,1,1,1,2,68
"5031",9,"1979",1,3,1,2,2,67
"5072",7,"1979",1,2,1,2,2,64
"5091",7,"1979",1,4,1,2,2,64
"5103",7,"1979",1,4,2,2,2,64
"5133",16,"1979",1,3,1,2,2,68
"5134",16,"1979",1,3,1,2,2,68
"5136",16,"1979",2,3,1,2,2,68
"5148",16,"1979",2,2,1,2,2,68
"5149",16,"1979",2,2,1,2,2,68
"5160",16,"1979",1,5,1,2,2,68
"5167",16,"1979",2,2,1,2,2,68
"5171",32,"1979",1,3,1,2,2,60
"5188",32,"1979",1,5,1,2,2,68
"5190",32,"1979",1,2,1,2,2,65
"5195",32,"1979",1,2,1,2,2,65
"5231",6,"1979",1,3,1,2,2,68
"5250",6,"1979",3,2,1,2,2,65
"5251",6,"1979",3,2,1,2,2,67
"5254",6,"1979",1,3,1,2,2,65
"5256",6,"1979",1,3,1,2,2,68
"5257",6,"1979",1,3,1,2,2,67
"5266",6,"1979",1,3,1,2,2,68
"5270",6,"1979",1,2,1,2,2,65
"5271",6,"1979",1,2,1,2,2,65
"5291",6,"1979",1,3,1,2,2,65
"5292",6,"1979",1,3,1,2,2,68
"5299",6,"1979",1,5,1,2,2,65
"5300",6,"1979",1,5,1,2,2,67
"5310",6,"1979",1,2,1,2,2,68
"5333",6,"1979",1,2,1,2,2,68
"5349",18,"1979",2,1,2,2,2,65
"5373",18,"1979",3,2,1,1,2,68
"5375",18,"1979",2,1,1,1,2,68
"5399",18,"1979",1,2,2,2,2,65
"5409",14,"1979",1,3,1,2,2,68
"5436",14,"1979",1,2,2,2,2,65
"5452",14,"1979",2,2,1,2,2,65
"5464",14,"1979",2,6,1,2,2,68
"5465",14,"1979",1,3,1,2,2,68
"5473",10,"1979",1,2,1,2,2,67
"5515",10,"1979",2,2,1,2,2,65
"5526",10,"1979",1,3,1,1,2,68
"5534",10,"1979",2,2,1,2,2,68
"5560",10,"1979",2,1,2,2,2,68
"5568",10,"1979",2,98,1,2,2,68
"5570",10,"1979",2,98,1,2,2,63
"5588",10,"1979",2,2,1,2,2,68
"5592",10,"1979",2,1,1,2,2,68
"5593",10,"1979",2,1,1,2,2,67
"5594",10,"1979",2,1,1,2,2,65
"5598",10,"1979",2,3,1,2,2,67
"5599",10,"1979",2,3,1,2,2,65
"5602",10,"1979",1,3,2,2,2,65
"5609",10,"1979",1,6,1,2,2,68
"5610",10,"1979",1,6,1,2,2,68
"5622",23,"1979",1,4,1,2,2,67
"5636",23,"1979",1,98,1,2,2,65
"5658",23,"1979",2,3,1,2,2,65
"5659",23,"1979",2,3,1,2,2,65
"5664",23,"1979",2,3,1,2,2,65
"5665",23,"1979",2,3,1,2,2,65
"5695",23,"1979",3,3,1,2,2,67
"5700",23,"1979",3,3,2,2,2,68
"5703",23,"1979",3,2,1,2,2,68
"5704",23,"1979",3,2,1,2,2,65
"5719",23,"1979",1,2,1,2,2,65
"5738",2,"1979",2,3,1,2,2,68
"5786",2,"1979",1,1,1,2,2,68
"5792",2,"1979",3,3,1,2,2,65
"5793",2,"1979",3,3,1,2,2,64
"5794",2,"1979",3,3,1,2,2,68
"5842",2,"1979",1,4,1,2,2,65
"5853",15,"1979",1,3,1,2,2,68
"5887",15,"1979",1,1,2,2,2,65
"5892",15,"1979",3,98,2,2,2,65
"5912",15,"1979",1,98,1,2,2,68
"5929",15,"1979",1,98,1,2,2,65
"5940",15,"1979",2,3,1,2,2,67
"5974",3,"1979",2,98,2,2,2,68
"5976",3,"1979",1,2,1,2,2,68
"5994",3,"1979",1,6,1,2,2,65
"5996",3,"1979",1,5,1,2,2,68
"6003",3,"1979",1,3,1,2,2,67
"6033",3,"1979",1,98,1,2,2,67
"6054",3,"1979",1,4,1,2,2,68
"6056",3,"1979",1,4,1,2,2,65
"6075",3,"1979",2,2,1,2,2,67
"6077",3,"1979",2,1,1,2,2,65
"6079",3,"1979",2,1,1,2,2,68
"6080",3,"1979",2,1,1,2,2,68
"6101",3,"1979",1,2,1,2,2,68
"6103",3,"1979",1,2,1,2,2,68
"6125",3,"1979",1,3,1,2,2,68
"6137",3,"1979",2,98,1,2,2,62
"6144",3,"1979",1,98,1,2,2,67
"6145",3,"1979",1,98,1,2,2,68
"6156",39,"1979",1,2,1,2,2,63
"6167",39,"1979",1,2,1,2,2,64
"6210",7,"1979",2,3,1,2,2,65
"6211",7,"1979",1,2,1,2,2,64
"6217",33,"1979",1,2,1,2,2,67
"6245",33,"1979",1,3,1,1,2,65
"6254",33,"1979",1,2,1,1,2,65
"6257",33,"1979",1,2,1,1,2,65
"6259",33,"1979",1,1,1,1,2,65
"6289",25,"1979",2,1,1,2,2,65
"6290",25,"1979",2,1,1,2,2,68
"6293",25,"1979",3,3,1,2,2,67
"6303",25,"1979",1,98,1,2,2,68
"6362",39,"1979",1,2,1,2,2,65
"6394",39,"1979",3,5,1,2,2,68
"6412",39,"1979",1,6,1,2,2,64
"6414",39,"1979",1,6,1,2,2,65
"6447",39,"1979",1,1,1,2,2,68
"6449",39,"1979",1,1,1,2,2,65
"6451",39,"1979",3,1,1,2,2,65
"6460",39,"1979",1,1,1,2,2,68
"6462",39,"1979",3,3,1,2,2,68
"6463",39,"1979",3,3,1,2,2,68
"6475",39,"1979",1,6,1,2,2,64
"6486",39,"1979",1,5,1,2,2,65
"6496",39,"1979",1,2,1,2,2,65
"6512",38,"1979",3,1,1,2,2,63
"6576",38,"1979",2,2,1,2,2,65
"6599",39,"1979",1,5,1,2,2,68
"6602",39,"1979",2,3,1,2,2,65
"6603",39,"1979",2,3,1,2,2,64
"6604",5,"1979",1,2,1,2,2,64
"6608",5,"1979",1,2,1,2,2,65
"6610",5,"1979",1,1,2,2,2,67
"6618",5,"1979",2,3,1,2,2,68
"6623",5,"1979",1,98,1,2,2,68
"6629",5,"1979",2,3,1,2,2,64
"6630",5,"1979",2,3,1,2,2,67
"6631",5,"1979",2,3,1,2,2,67
"6638",5,"1979",2,2,1,2,2,65
"6639",5,"1979",2,2,1,2,2,65
"6641",5,"1979",1,2,1,2,2,65
"6647",40,"1979",1,1,1,2,2,65
"6680",40,"1979",2,2,1,2,2,65
"6681",40,"1979",2,2,1,2,2,67
"6682",40,"1979",2,3,1,2,2,68
"6683",40,"1979",2,3,1,2,2,68
"6692",15,"1979",2,1,2,2,2,68
"6744",11,"1979",1,2,1,1,2,68
"6754",11,"1979",2,98,1,2,2,68
"6765",11,"1979",2,2,1,2,2,68
"6811",29,"1979",1,3,1,2,2,65
"6836",29,"1979",1,3,1,2,2,68
"6839",29,"1979",3,5,1,2,2,67
"6864",29,"1979",1,2,1,2,2,67
"6882",29,"1979",2,2,1,2,2,68
"6896",29,"1979",2,2,1,2,2,68
"6900",29,"1979",1,5,1,2,2,63
"6905",29,"1979",4,1,3,2,2,64
"6906",29,"1979",4,1,3,2,2,65
"6907",29,"1979",4,1,3,2,2,65
"6909",29,"1979",3,1,1,1,2,65
"6911",29,"1979",1,3,1,2,2,65
"6927",17,"1979",1,1,1,2,2,60
"6948",17,"1979",1,98,1,2,2,68
"6967",17,"1979",2,98,1,2,2,67
"6971",17,"1979",1,5,1,2,2,64
"6974",17,"1979",1,98,1,2,2,68
"6986",17,"1979",1,1,2,2,2,65
"7003",17,"1979",1,1,1,2,2,63
"7009",17,"1979",1,1,1,2,2,64
"7032",17,"1979",1,3,1,2,2,68
"7046",17,"1979",1,2,1,2,2,68
"7054",17,"1979",1,2,2,2,2,60
"7090",17,"1979",2,1,1,1,2,62
"7091",17,"1979",2,1,1,1,2,65
"7094",17,"1979",2,1,1,1,2,65
"7096",17,"1979",1,2,1,1,2,65
"7115",17,"1979",2,3,1,2,2,65
"7136",24,"1979",1,2,1,2,2,67
"7138",35,"1979",2,1,1,2,2,64
"7153",24,"1979",2,2,1,2,2,67
"7159",24,"1979",1,3,1,2,2,68
"7163",35,"1979",1,1,1,2,2,65
"7169",35,"1979",1,5,1,2,2,65
"7181",24,"1979",2,3,1,2,2,68
"7193",35,"1979",1,6,1,2,2,68
"7211",24,"1979",1,1,1,2,2,60
"7215",24,"1979",1,3,1,2,2,68
"7219",24,"1979",1,3,1,2,2,65
"7220",24,"1979",1,3,1,2,2,68
"7236",35,"1979",1,1,2,2,2,62
"7237",35,"1979",1,1,2,2,2,68
"7239",35,"1979",3,1,1,2,2,62
"7249",24,"1979",2,2,4,2,2,60
"7265",24,"1979",1,2,2,2,2,67
"7271",24,"1979",2,3,1,2,2,68
"7282",24,"1979",1,98,2,2,2,68
"7286",24,"1979",1,2,1,2,2,68
"7310",24,"1979",1,2,1,2,2,65
"7315",24,"1979",1,5,1,2,2,68
"7317",24,"1979",1,5,1,1,2,67
"7321",24,"1979",1,98,1,2,2,68
"7329",35,"1979",1,6,1,2,2,65
"7349",35,"1979",1,98,2,2,2,68
"7357",35,"1979",2,98,1,2,2,64
"7360",24,"1979",3,2,1,2,2,68
"7364",35,"1979",2,6,1,2,2,68
"7367",35,"1979",2,6,1,2,2,67
"7377",35,"1979",1,2,1,1,2,65
