"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"16565",5,"1980",2,1,2,2,2,67
"17228",35,"1980",1,1,2,2,2,68
"17231",35,"1980",1,1,2,2,2,68
"17264",24,"1980",1,2,2,2,2,65
"17266",24,"1980",1,1,2,2,2,65
"17267",24,"1980",1,1,2,2,2,65
"17386",24,"1980",2,2,2,2,2,67
"17521",30,"1980",4,2,2,2,2,63
"17967",37,"1980",3,2,2,2,2,68
"18071",34,"1980",2,2,2,2,2,65
"18577",17,"1980",2,5,2,2,2,64
"18880",21,"1980",2,4,2,2,2,64
"18928",21,"1980",2,2,2,2,2,68
"18929",21,"1980",2,2,2,2,2,68
"18975",26,"1980",1,98,2,2,2,64
"19005",26,"1980",1,3,2,2,2,68
"19012",26,"1980",1,5,2,2,2,67
"19020",26,"1980",1,1,2,2,2,68
"19084",26,"1980",1,1,2,2,2,68
"19428",4,"1980",1,2,2,2,2,68
"19504",21,"1980",1,1,2,2,2,64
"19578",21,"1980",1,2,2,2,2,64
"19623",21,"1980",3,98,2,2,2,64
"19646",21,"1980",1,1,2,2,2,65
"19694",21,"1980",1,98,2,2,2,68
"19778",20,"1980",1,3,2,2,2,64
"19919",22,"1980",1,1,2,2,2,67
"19961",22,"1980",1,3,2,2,2,65
"19997",16,"1980",1,3,2,2,2,62
"20037",16,"1980",1,98,2,2,2,64
"20040",16,"1980",1,4,2,2,2,68
"20041",16,"1980",1,4,2,2,2,68
"20042",16,"1980",1,4,2,2,2,68
"20051",16,"1980",2,2,2,2,2,68
"20442",6,"1980",1,3,2,2,2,68
"20483",6,"1980",1,1,2,2,2,68
"20485",6,"1980",2,1,2,2,2,68
"20494",6,"1980",1,2,2,2,2,65
"20547",6,"1980",1,1,2,2,2,68
"20554",6,"1980",1,98,2,2,2,68
"20607",6,"1980",1,3,2,2,2,65
"20659",12,"1980",3,1,2,2,2,68
"20682",12,"1980",2,5,2,2,2,68
"20702",12,"1980",1,5,2,2,2,68
"20731",12,"1980",2,5,2,2,2,68
"20814",12,"1980",2,98,2,2,2,65
"20890",12,"1980",1,2,2,2,2,64
"20891",12,"1980",1,2,2,2,2,64
"20895",12,"1980",2,98,2,2,2,64
"21080",7,"1980",1,3,2,2,2,67
"21562",10,"1980",1,2,2,2,2,65
"21608",10,"1980",1,1,2,2,2,68
"21670",10,"1980",2,3,2,2,2,68
"21679",10,"1980",1,1,2,2,2,64
"21709",23,"1980",2,1,2,2,2,68
"21988",15,"1980",4,98,2,2,2,67
"21993",15,"1980",2,1,2,2,2,65
"21999",15,"1980",1,1,2,2,2,67
"22041",3,"1980",2,1,2,2,2,67
"22070",3,"1980",2,1,2,2,2,68
"22082",3,"1980",1,2,2,2,2,64
"22131",39,"1980",1,1,2,2,2,64
"22132",39,"1980",1,1,2,2,2,64
"22233",33,"1980",2,5,2,2,2,65
"22325",39,"1980",3,1,2,2,2,64
"22344",39,"1980",1,2,2,2,2,65
"22445",39,"1980",1,1,2,2,2,64
"22874",17,"1980",2,98,2,2,2,65
"22920",17,"1980",1,1,2,2,2,65
"23088",17,"1980",1,5,2,2,2,64
"23824",37,"1980",1,5,2,2,2,65
"24065",34,"1980",1,98,2,2,2,68
"24398",17,"1980",1,3,2,2,2,68
"24399",17,"1980",1,3,2,2,2,68
"24747",21,"1980",1,2,2,2,2,64
"24860",12,"1980",1,4,2,2,2,68
"24861",12,"1980",1,4,2,2,2,65
"24873",12,"1980",1,1,2,2,2,65
"24884",12,"1980",1,1,2,2,2,60
"24998",3,"1980",1,3,2,2,2,68
"25230",17,"1980",1,2,2,2,2,67
"25309",26,"1980",1,2,2,2,2,64
"25409",6,"1980",1,3,2,2,2,64
"25410",6,"1980",1,3,2,2,2,68
"25435",12,"1980",1,3,2,2,2,64
"25612",39,"1980",1,3,2,2,2,64
"25637",29,"1980",1,1,2,2,2,64
"25758",34,"1980",1,2,2,2,2,65
"25854",21,"1981",1,1,2,2,2,68
"25873",21,"1981",1,98,2,2,2,64
"25874",21,"1981",1,98,2,2,2,64
"25875",21,"1981",1,98,2,2,2,64
"25885",21,"1981",1,1,2,2,2,63
"25928",26,"1981",1,1,2,2,2,68
"26031",28,"1981",1,1,2,2,2,64
"26036",28,"1981",1,1,2,2,2,68
"26160",4,"1981",1,3,2,2,2,68
"26234",21,"1981",2,1,2,2,2,64
"26267",21,"1981",2,3,2,2,2,63
"26270",21,"1981",2,1,2,2,2,64
"26283",21,"1981",3,1,2,2,2,68
"26319",21,"1981",1,1,2,2,2,65
"26323",21,"1981",2,1,2,2,2,65
"26327",21,"1981",1,3,2,2,2,68
"26342",21,"1981",2,1,2,2,2,64
"26393",21,"1981",1,98,2,2,2,65
"26443",20,"1981",2,1,2,2,2,65
"26528",22,"1981",1,2,2,2,2,68
"26676",19,"1981",3,3,2,2,2,64
"26968",6,"1981",2,2,2,2,2,64
"26969",6,"1981",2,2,2,2,2,64
"26988",6,"1981",1,2,2,2,2,65
"26989",6,"1981",1,2,2,2,2,68
"27000",6,"1981",2,3,2,2,2,64
"27051",12,"1981",2,2,2,2,2,68
"27097",12,"1981",1,2,2,2,2,65
"27139",12,"1981",2,1,2,2,2,65
"27142",12,"1981",3,1,2,2,2,64
"27172",12,"1981",2,1,2,2,2,68
"27178",12,"1981",2,1,2,2,2,65
"27179",12,"1981",2,1,2,2,2,65
"27180",12,"1981",2,1,2,2,2,65
"27192",12,"1981",1,6,2,2,2,60
"27210",12,"1981",1,1,2,2,2,68
"27211",12,"1981",1,2,2,2,2,64
"27351",32,"1981",2,98,2,2,2,68
"27627",10,"1981",1,1,2,2,2,65
"27658",10,"1981",1,1,2,2,2,68
"27678",23,"1981",1,2,2,2,2,65
"27685",23,"1981",1,2,2,2,2,64
"27703",23,"1981",1,1,2,2,2,60
"27803",15,"1981",2,2,2,2,2,64
"27804",15,"1981",2,2,2,2,2,64
"27812",15,"1981",1,1,2,2,2,68
"27815",15,"1981",1,1,2,2,2,62
"27816",15,"1981",4,2,2,2,2,60
"27839",15,"1981",1,3,2,2,2,68
"27871",15,"1981",1,3,2,2,2,65
"27973",3,"1981",2,1,2,2,2,64
"28035",3,"1981",2,5,2,2,2,65
"28039",39,"1981",3,1,2,2,2,68
"28140",39,"1981",2,3,2,2,2,68
"28259",38,"1981",1,1,2,2,2,64
"28500",17,"1981",2,3,2,2,2,68
"28615",17,"1981",1,2,2,2,2,64
"28829",24,"1981",1,1,2,2,2,64
"29248",34,"1981",1,4,2,2,2,65
"29249",34,"1981",1,4,2,2,2,68
"29250",34,"1981",1,4,2,2,2,64
"29468",17,"1981",1,2,2,2,2,65
"29481",17,"1981",2,5,2,2,2,68
"29587",17,"1981",2,3,2,2,2,65
"29696",21,"1981",1,1,2,2,2,63
"29731",21,"1981",3,1,2,2,2,65
"29733",21,"1981",1,2,2,2,2,65
"29735",21,"1981",1,1,2,2,2,64
"29736",21,"1981",1,1,2,2,2,64
"29737",21,"1981",1,1,2,2,2,64
"29738",21,"1981",1,1,2,2,2,64
"29739",21,"1981",1,1,2,2,2,64
"29795",26,"1981",1,2,2,2,2,68
"29815",26,"1981",1,2,2,2,2,68
"29846",26,"1981",1,1,2,2,2,68
"29847",26,"1981",1,1,2,2,2,68
"29917",28,"1981",1,3,2,2,2,65
"29918",28,"1981",1,3,2,2,2,68
"29939",28,"1981",4,1,2,2,2,60
"30198",21,"1981",1,1,2,1,2,64
"30227",21,"1981",2,3,2,2,2,68
"30231",21,"1981",2,3,2,2,2,64
"30237",21,"1981",2,3,2,2,2,68
"30239",21,"1981",2,3,2,2,2,67
"30306",21,"1981",2,3,2,2,2,68
"30493",22,"1981",2,98,2,2,2,64
